id_venda,data_venda,regiao,produto,preco_unitario,quantidade,desconto,idade_cliente,renda_cliente,faturamento
1,2023-04-13,Sul,Notebook,3619.68,8,0.15,18,2634.21,24613.823999999997
2,2023-12-15,Norte,Notebook,2142.06,8,0.0,57,3460.64,17136.48
3,2023-09-28,Oeste,Monitor,2772.49,4,0.1,29,3422.39,9980.964
4,2023-04-17,Oeste,Mouse,2488.98,4,0.1,53,5842.39,8960.328
5,2023-03-13,Oeste,Teclado,3597.9,5,0.0,62,4057.58,17989.5
6,2023-07-08,Oeste,Monitor,1957.77,6,,40,6371.61,11746.619999999999
7,2023-01-21,Oeste,Notebook,3422.83,5,0.1,64,3489.76,15402.735000000002
8,2023-04-13,Leste,Notebook,2199.99,7,,48,4918.49,15399.929999999998
9,2023-05-02,Leste,Monitor,1944.68,2,0.0,28,3246.98,3889.36
10,2023-08-03,Norte,Teclado,2587.89,7,,27,7717.72,18115.23
11,2023-11-27,Oeste,Mouse,2773.97,7,0.05,20,2718.6,18446.900499999996
12,2023-03-29,Norte,Mouse,4029.22,1,0.15,31,4964.73,3424.8369999999995
13,2023-04-10,Oeste,Notebook,2755.63,7,0.1,33,5450.67,17360.469
14,2023-12-26,Oeste,Teclado,2654.62,5,0.15,27,5120.7,11282.134999999998
15,2023-06-01,Leste,Mouse,3776.91,3,,46,4222.07,11330.73
16,2023-05-11,Leste,Teclado,2980.84,3,0.1,27,4305.27,8048.268000000001
17,2023-05-30,Sul,Teclado,1984.58,4,,29,4565.72,7938.32
18,2023-11-05,Leste,Notebook,3584.78,2,0.05,47,4279.5,6811.082
19,2023-09-15,Sul,Mouse,1908.3,2,0.0,58,5945.82,3816.6
20,2023-12-10,Sul,Monitor,1980.6,1,0.1,18,7815.78,1782.54
21,2023-10-21,Sul,Notebook,1821.18,5,0.05,22,3663.76,8650.605
22,2023-07-11,Sul,Mouse,1751.0,4,0.05,37,2445.3,6653.799999999999
23,2023-10-04,Sul,Mouse,2766.54,2,0.1,25,4367.58,4979.772
24,2023-06-10,Norte,Mouse,2293.68,3,,60,8369.56,6881.039999999999
25,2023-11-10,Leste,Mouse,-282.54,7,0.05,29,3294.49,-1878.891
26,2023-01-22,Sul,Mouse,2285.39,7,0.15,18,6958.68,13598.0705
27,2023-09-10,Oeste,Teclado,2085.67,4,0.05,37,7016.55,7925.546
28,2023-08-24,Leste,Notebook,3214.26,5,,45,3669.62,16071.300000000001
29,2023-12-11,Leste,Teclado,2049.39,5,,60,5353.47,10246.949999999999
30,2023-02-18,Sul,Monitor,4531.41,6,0.15,54,6942.59,23110.191
31,2023-02-28,Norte,Mouse,3617.43,9,0.05,64,3931.31,30929.026499999996
32,2023-06-19,Sul,Notebook,2188.07,2,,54,4194.63,4376.14
33,2023-07-07,Norte,Mouse,3419.7,5,0.1,29,3627.48,15388.65
34,2023-09-28,Oeste,Notebook,2920.17,3,0.0,54,2977.86,8760.51
35,2023-07-09,Leste,Teclado,2686.77,4,0.0,66,3526.08,10747.08
36,2023-06-24,Oeste,Notebook,3142.12,6,0.0,66,2664.09,18852.72
37,2023-02-20,Norte,Monitor,2543.26,8,0.05,61,4551.13,19328.776
38,2023-12-30,Norte,Monitor,2692.28,1,0.15,45,3345.04,2288.438
39,2023-02-24,Oeste,Notebook,3158.68,8,,64,4850.68,25269.44
40,2023-09-01,Norte,Notebook,4141.96,7,0.1,32,2166.16,26094.348
41,2023-11-16,Oeste,Notebook,2700.96,1,0.1,23,4996.32,2430.864
42,2023-05-11,Leste,Notebook,2136.96,2,0.05,61,5750.29,4060.2239999999997
43,2023-11-03,Oeste,Monitor,876.62,3,0.0,37,1509.4,2629.86
44,2023-05-15,Leste,Mouse,4069.04,1,0.05,67,5061.08,3865.5879999999997
45,2023-01-21,Oeste,Notebook,2289.41,9,0.15,31,6341.5,17513.9865
46,2023-11-25,Norte,Notebook,2927.85,8,0.15,19,2685.54,19909.379999999997
47,2023-06-16,Oeste,Monitor,4024.73,0,,26,,8049.46
48,2023-10-01,Norte,Monitor,2682.08,9,,54,5128.53,24138.72
49,2023-03-30,Oeste,Teclado,2344.26,7,0.15,37,3442.48,13948.347
50,2023-11-12,Oeste,Notebook,3635.74,9,0.15,43,4416.35,27813.410999999996
51,2023-01-14,Sul,Teclado,2868.59,6,0.15,46,5337.49,14629.809000000001
52,2023-08-30,Norte,Monitor,2968.88,6,0.05,18,4614.01,16922.615999999998
53,2023-09-22,Sul,Monitor,1281.47,4,0.15,52,5308.13,4356.998
54,2023-12-12,Norte,Mouse,3464.73,2,0.1,23,3118.99,6236.514
55,2023-02-22,Sul,Notebook,2800.47,7,0.0,54,4754.04,19603.289999999997
56,2023-12-06,Leste,Teclado,1402.73,5,0.15,,2379.43,5961.6025
57,2023-04-02,Oeste,Monitor,2888.08,6,0.0,22,4333.16,17328.48
58,2023-09-21,Norte,Monitor,849.98,2,0.05,50,3144.14,1614.962
59,2023-02-04,Norte,Teclado,4373.58,5,0.0,66,3396.71,21867.9
60,2023-07-25,Oeste,Mouse,1618.52,4,0.05,68,6354.14,6150.375999999999
61,2023-03-22,Norte,Monitor,3789.43,9,0.1,31,6136.97,30694.382999999998
62,2023-02-19,Norte,Notebook,1849.64,6,0.05,29,5413.71,10542.948
63,2023-12-26,Sul,Monitor,2948.18,2,0.05,59,2861.53,5601.5419999999995
64,2023-01-02,Norte,Notebook,1770.3,1,,37,4025.39,1770.3
65,2023-02-23,Leste,Teclado,3297.69,5,0.15,,6319.65,14015.1825
66,2023-04-16,Leste,Notebook,2311.75,9,0.15,67,4712.58,17684.8875
67,2023-09-17,Oeste,Teclado,2874.22,6,0.1,41,7978.99,15520.788
68,2023-11-06,Norte,Notebook,2512.05,7,0.1,60,5089.98,15825.915000000003
69,2023-07-10,Oeste,Teclado,1407.47,5,0.15,51,4788.07,5981.7475
70,2023-08-06,Leste,Notebook,2903.29,6,,42,4036.33,17419.739999999998
71,2023-02-13,Norte,Mouse,2097.41,5,0.15,67,4700.31,8913.992499999998
72,2023-06-11,Norte,Notebook,3336.25,9,,46,4271.3,30026.25
73,2023-07-21,Oeste,Notebook,2311.31,6,0.1,56,5562.16,12481.074
74,2023-09-27,Leste,Mouse,2438.59,8,0.0,48,5935.05,19508.72
75,2023-12-17,Norte,Monitor,3846.34,2,0.1,64,,6923.412
76,2023-10-31,Oeste,Monitor,4405.31,9,0.1,60,2503.15,35683.011
77,2023-09-28,Leste,Notebook,3128.83,5,0.05,67,1745.69,14861.9425
78,2023-08-03,Oeste,Mouse,2270.29,7,0.05,40,,15097.428499999998
79,2023-09-09,Sul,Notebook,2200.27,1,0.05,61,2844.95,2090.2565
80,2023-07-09,Norte,Teclado,1845.06,5,0.05,55,1270.66,8764.034999999998
81,2023-10-23,Sul,Teclado,1999.81,2,,37,5082.87,3999.62
82,2023-08-01,Leste,Notebook,2281.11,6,0.15,40,8239.5,11633.661
83,2023-07-27,Sul,Monitor,4071.4,1,0.0,62,4490.89,4071.4
84,2023-08-25,Sul,Monitor,2342.22,3,0.1,69,5757.74,6323.994
85,2023-12-04,Leste,Notebook,1519.16,5,,33,4622.74,7595.8
86,2023-02-22,Oeste,Notebook,2533.33,4,0.0,67,4351.67,10133.32
87,2023-10-07,Sul,Teclado,2642.5,3,,59,5878.61,7927.5
88,2023-08-05,Oeste,Monitor,2528.51,5,,25,4064.59,12642.550000000001
89,2023-09-09,Sul,Notebook,3139.75,8,0.1,67,4901.09,22606.2
90,2023-07-07,Oeste,Teclado,2555.2,4,0.15,38,4982.55,8687.679999999998
91,2023-02-10,Leste,Monitor,3114.98,1,0.05,18,3497.86,2959.2309999999998
92,2023-06-06,Sul,Mouse,1875.73,7,0.15,25,5988.06,11160.5935
93,2023-01-15,Leste,Teclado,3924.58,8,0.1,46,4237.56,28256.976
94,2023-10-28,Sul,Monitor,2701.98,3,0.1,49,3366.38,7295.3460000000005
95,2023-03-06,Leste,Monitor,2820.18,6,0.1,55,5304.76,15228.971999999998
96,2023-12-11,Leste,Teclado,1872.39,2,0.0,22,3152.3,3744.78
97,2023-11-23,Sul,Mouse,2877.46,7,0.15,64,4542.27,17120.887
98,2023-01-09,Sul,Teclado,3020.85,8,0.15,39,4486.32,20541.78
99,2023-12-10,Sul,Monitor,1564.19,6,,64,6128.84,9385.14
100,2023-05-09,Norte,Notebook,1172.73,6,,51,5212.05,7036.38
101,2023-05-16,Oeste,Notebook,2734.93,5,,18,4462.46,13674.65
102,2023-03-04,Norte,Teclado,2108.98,8,0.1,43,5726.65,15184.656
103,2023-05-19,Norte,Monitor,2707.94,1,0.15,60,6585.31,2301.749
104,2023-03-22,Leste,Notebook,1467.17,4,0.1,27,5336.72,5281.812000000001
105,2023-06-12,Sul,Monitor,1251.6,4,0.0,47,4515.53,5006.4
106,2023-10-16,Oeste,Teclado,2665.35,3,,67,2532.25,7996.049999999999
107,2023-09-18,Leste,Notebook,2220.17,3,0.1,35,2902.33,5994.459000000001
108,2023-08-19,Norte,Monitor,811.44,4,0.1,34,4042.16,2921.184
109,2023-02-10,Sul,Notebook,3574.48,1,0.0,43,3585.73,3574.48
110,2023-01-28,Leste,Teclado,1453.87,2,0.05,25,4219.54,2762.3529999999996
111,2023-05-15,Sul,Monitor,4558.66,9,0.15,64,4584.97,34873.749
112,2023-07-20,Leste,Notebook,2000.79,2,0.05,57,5294.54,3801.5009999999997
113,2023-11-24,Sul,Teclado,-1.0,5,,66,4394.25,14106.25
114,2023-09-25,Norte,Notebook,3817.56,9,0.1,29,5229.75,30922.236
115,2023-02-02,Oeste,Notebook,3683.55,9,0.0,44,4596.71,33151.950000000004
116,2023-02-17,Norte,Mouse,-1.0,8,0.0,25,1536.8,32711.28
117,2023-03-03,Oeste,Mouse,1281.54,1,0.15,42,3091.0,1089.309
118,2023-08-04,Sul,Teclado,1591.31,0,0.05,63,4283.87,1511.7444999999998
119,2023-10-20,Leste,Mouse,2680.8,9,0.15,21,2685.46,20508.12
120,2023-04-09,Norte,Teclado,3171.8,8,0.1,50,5399.89,22836.960000000003
121,2023-06-21,Oeste,Mouse,2491.02,9,0.15,18,6796.13,19056.303
122,2023-12-26,Norte,Notebook,1189.6,7,0.0,36,6328.14,8327.199999999999
123,2023-08-02,Oeste,Teclado,2897.26,3,0.0,48,4179.84,8691.78
124,2023-02-04,Norte,Teclado,2344.6,3,,33,,7033.799999999999
125,2023-08-15,Oeste,Notebook,2335.01,2,,31,4723.0,4670.02
126,2023-04-11,Oeste,Teclado,677.64,5,0.1,,3994.37,3049.38
127,2023-05-11,Sul,Teclado,3137.99,3,0.05,65,3579.9,8943.271499999999
128,2023-09-14,Oeste,Mouse,2616.16,6,0.15,22,4046.3,13342.416
129,2023-01-05,Sul,Teclado,3936.13,2,0.1,58,3917.73,7085.034000000001
130,2023-08-06,Oeste,Monitor,2440.39,3,,43,4755.62,7321.17
131,2023-09-12,Leste,Notebook,2953.07,5,0.15,45,4740.86,12550.5475
132,2023-12-25,Leste,Mouse,3165.45,1,,19,4504.57,3165.45
133,2023-10-10,Leste,Mouse,1103.07,1,0.15,67,5155.41,937.6094999999999
134,2023-07-26,Oeste,Monitor,4593.36,9,0.05,23,6285.97,39273.227999999996
135,2023-01-15,Sul,Notebook,2155.37,7,0.1,26,5924.33,13578.831
136,2023-12-12,Sul,Notebook,2895.65,1,0.15,50,2272.65,2461.3025000000002
137,2023-02-11,Oeste,Mouse,3012.47,8,0.0,58,,24099.76
138,2023-06-28,Leste,Teclado,1848.17,3,0.0,42,5901.48,5544.51
139,2023-03-04,Leste,Mouse,3977.58,8,0.15,65,2449.68,27047.543999999998
140,2023-12-18,Sul,Notebook,2712.76,5,0.15,30,4162.85,11529.230000000001
141,2023-08-19,Leste,Monitor,2329.22,1,0.15,26,2744.83,1979.8369999999998
142,2023-08-29,Norte,Mouse,2610.81,7,0.0,,1797.03,18275.67
143,2023-02-21,Sul,Notebook,3111.4,5,0.0,30,5312.19,15557.0
144,2023-04-06,Leste,Mouse,2508.64,6,0.15,48,5638.73,12794.064
145,2023-08-10,Sul,Teclado,3205.54,6,,58,3635.23,19233.239999999998
146,2023-08-19,Norte,Mouse,-1.0,8,,28,613.44,9216.8
147,2023-08-25,Sul,Mouse,1901.62,9,0.05,21,3680.63,16258.850999999997
148,2023-05-23,Sul,Notebook,788.96,0,0.1,51,5087.71,1420.1280000000002
149,2023-06-20,Sul,Notebook,4097.61,9,,55,2281.63,36878.49
150,2023-01-29,Sul,Notebook,4087.19,9,0.0,63,4775.04,36784.71
151,2023-02-05,Norte,Mouse,3001.29,7,,21,4477.04,21009.03
152,2023-01-13,Oeste,Teclado,1689.91,1,0.05,55,5368.94,1605.4145
153,2023-06-09,Sul,Monitor,4411.9,7,0.05,36,4679.37,29339.134999999995
154,2023-11-23,Sul,Monitor,2016.47,5,0.1,23,3040.4,9074.115
155,2023-07-06,Leste,Notebook,2329.43,6,,51,6294.86,13976.579999999998
156,2023-08-31,Sul,Notebook,2627.63,7,0.0,35,4262.21,18393.41
